Date,Open,High,Low,Close,Volume,dates
10/10/16,130.81,131.66,130.71,131.11,332006,10/10/16
10/11/16,130.73,131,128.01,128.65,453531,10/11/16
10/12/16,128.51,130.25,128.47,130.03,380205,10/12/16
10/13/16,129.16,129.78,128.33,128.99,464994,10/13/16
10/14/16,129.47,131.77,129.47,130.35,569503,10/14/16
10/17/16,130.07,130.45,129.4,129.53,370951,10/17/16
10/18/16,130.54,131.3,130.07,130.28,382625,10/18/16
10/19/16,130.61,130.61,129.35,130.21,433954,10/19/16
10/20/16,129.88,130.3,129.12,129.53,336795,10/20/16
10/21/16,128.64,129.92,128.16,129.76,285394,10/21/16
10/24/16,130.24,131.63,129.9,131.19,313807,10/24/16
10/25/16,131.04,132.49,130.28,130.43,764917,10/25/16
10/26/16,129.83,130.73,128.11,128.71,820243,10/26/16
10/27/16,126.83,127.98,122.63,123.17,1813050,10/27/16
10/28/16,122.91,124.44,121.8,122,969188,10/28/16
10/31/16,122.46,124.2,122.34,123.97,928857,10/31/16
11/1/16,124.52,124.75,122.8,123.64,714041,11/1/16
11/2/16,123.62,124.03,122.32,122.43,547755,11/2/16
11/3/16,122.74,123.46,121.87,122.97,396409,11/3/16
11/4/16,123.05,124.79,122.9,123.61,640903,11/4/16
11/7/16,125.42,126.36,124.82,126.09,454581,11/7/16
11/8/16,126.04,127.39,125.09,127.07,421943,11/8/16
11/9/16,126.44,126.88,121.89,122.53,1270051,11/9/16
11/10/16,122.25,122.53,113.69,116.23,3778876,11/10/16
11/11/16,115.84,116.38,112.73,114.03,2159165,11/11/16
11/14/16,114.64,115.28,113.35,115.14,1561524,11/14/16
11/15/16,115.27,118.36,115.27,118.15,2153610,11/15/16
11/16/16,118.11,119.78,117.7,119.5,1314574,11/16/16
11/17/16,120,122.41,119.26,121.81,1231214,11/17/16
11/18/16,122.03,122.59,121.34,121.56,687909,11/18/16
11/21/16,121.37,122.3,121.22,121.6,679545,11/21/16
11/22/16,121.6,121.68,119.77,120.24,635799,11/22/16
11/23/16,120.18,120.64,119.5,120.07,482869,11/23/16
11/25/16,120.14,120.18,118.93,120.06,374502,11/25/16
11/28/16,119.68,119.93,118.59,119.19,1041239,11/28/16
11/29/16,119.2,119.85,118.9,119.32,712215,11/29/16
11/30/16,119.47,120,114.21,114.45,2085784,11/30/16
12/1/16,114.45,114.74,110.87,111.54,1964936,12/1/16
12/2/16,111.59,114.08,111.48,114.03,1084719,12/2/16
12/5/16,115.8,115.82,114.04,114.33,1065202,12/5/16
12/6/16,114.81,114.88,113.13,113.5,834267,12/6/16
12/7/16,113.76,116.16,113.29,115.99,762906,12/7/16
12/8/16,115.77,118.11,115.55,117.6,874068,12/8/16
12/9/16,117.62,118.12,116.91,117.16,618384,12/9/16
12/12/16,116.88,117.63,116.52,117.03,852245,12/12/16
12/13/16,117,117.66,116.15,116.48,811987,12/13/16
12/14/16,116.12,117.28,115.57,115.85,838885,12/14/16
12/15/16,115.88,117.58,115.83,117.13,1003513,12/15/16
12/16/16,116.74,118.02,116.74,116.97,1182802,12/16/16
12/19/16,116.19,116.87,115.68,116.02,748479,12/19/16
12/20/16,116.72,116.72,115.48,116.09,710674,12/20/16
12/21/16,116.15,119.26,116.04,118.65,1334516,12/21/16
12/22/16,118.6,118.97,117.93,118.91,763475,12/22/16
12/23/16,118.78,120.06,118.78,119.65,736191,12/23/16
12/27/16,119.52,119.65,118.33,118.59,507681,12/27/16
12/28/16,118.79,118.79,118.23,118.48,926163,12/28/16
12/29/16,118.69,119.07,117.87,118.67,503629,12/29/16
12/30/16,118.6,118.65,117.78,118.23,788523,12/30/16
1/3/17,118.59,119.3,118.12,118.76,766836,1/3/17
1/4/17,118.68,119.4,118.13,119.34,894829,1/4/17
1/5/17,119.54,120.45,119.1,119.98,553013,1/5/17
1/6/17,119.98,121.03,119.4,121,576472,1/6/17
1/9/17,121,121.61,119.79,119.84,759556,1/9/17
1/10/17,119.73,120.42,119,120.04,592872,1/10/17
1/11/17,120.15,120.6,119.1,120.52,560086,1/11/17
1/12/17,120.26,120.96,119.17,120.86,508580,1/12/17
1/13/17,120.72,121.06,119.69,120.31,432930,1/13/17
1/17/17,120.01,121.72,119.58,120.66,544268,1/17/17
1/18/17,120.07,120.38,118.18,120.26,984777,1/18/17
1/19/17,120.13,120.87,119.78,120.18,810412,1/19/17
1/20/17,119.8,120.09,116.69,118.08,1508714,1/20/17
1/23/17,117.77,118.29,117.52,118.18,593538,1/23/17
1/24/17,118.22,118.87,117.46,118.87,676018,1/24/17
1/25/17,119.11,119.67,118.3,118.63,1260295,1/25/17
1/26/17,118.36,119.32,117.63,117.84,508914,1/26/17
1/27/17,118.26,118.38,117.02,118.09,822147,1/27/17
1/30/17,118.14,118.14,116.79,117.34,521760,1/30/17
1/31/17,117.54,117.97,116.51,117.28,663951,1/31/17
2/1/17,117.69,117.92,116.31,117.21,825903,2/1/17
2/2/17,116.64,118.09,116.38,118.05,679706,2/2/17
2/3/17,118.43,120.46,118.43,120.35,563053,2/3/17
2/6/17,120.18,120.74,119.34,120.53,1197827,2/6/17
2/7/17,120.55,121.32,119.76,121.14,701627,2/7/17
2/8/17,121.14,122.62,120.41,121.99,946019,2/8/17
2/9/17,124.25,128.37,123.24,128.13,1803806,2/9/17
2/10/17,128,132.69,127.75,130.56,2566929,2/10/17
2/13/17,130.85,131.31,129.98,130.12,896633,2/13/17
2/14/17,129.45,130.84,129.26,130.32,709584,2/14/17
2/15/17,129.26,130.58,128.32,130.06,612570,2/15/17
2/16/17,130.1,130.65,128.78,129.93,674906,2/16/17
2/17/17,129.63,130.18,129.19,130.14,581463,2/17/17
2/21/17,129.84,130.48,128.93,129.36,1113712,2/21/17
2/22/17,128.94,129.74,128.86,129.06,1124425,2/22/17
2/23/17,129.77,130.03,128.68,129.22,765579,2/23/17
2/24/17,129.22,129.38,127.94,129.38,819623,2/24/17
2/27/17,129.58,130.99,129.19,130.81,866809,2/27/17
2/28/17,131.03,131.64,130.36,131.11,1300320,2/28/17
3/1/17,132.25,133.38,131.49,133.18,892482,3/1/17
3/2/17,132.72,133.4,132.04,132.91,735383,3/2/17
3/3/17,133.09,133.2,131.81,132.8,550601,3/3/17
3/6/17,132.19,132.59,131.25,132.06,737671,3/6/17
3/7/17,131.78,132.02,131.1,131.37,560855,3/7/17
3/8/17,131.48,132.34,130.9,131.81,715146,3/8/17
3/9/17,131.86,132.56,131.44,132.55,386671,3/9/17
