,ENTITY,ACTUAL YEAR,RECORDS LOST,ORGANISATION,METHOD OF LEAK,DATA SENSITIVITY
0,AOL,2004,92000000,web,inside job,1
1,Automatic Data Processing,2005,125000,financial,poor security,20
2,Ameritrade Inc.,2005,200000,financial,lost / stolen device,20
3,Citigroup,2005,3900000,financial,lost / stolen device,300
4,Cardsystems Solutions Inc. ,2005,40000000,financial,hacked,300
5,Hewlett Packard,2006,200000,"tech, retail",lost / stolen device,20
6,Countrywide Financial Corp,2006,2600000,financial,inside job,300
7,KDDI,2006,4000000,telecoms,hacked,1
8,"T-Mobile, Deutsche Telecom",2006,17000000,telecoms,lost / stolen device,1
9,AOL,2006,20000000,web,accidentally published,1
10,US Dept of Vet Affairs,2006,26500000,"government, military",lost / stolen device,20
11,Texas Lottery,2007,89000,government,inside job,20
12,City and Hackney Teaching Primary Care Trust,2007,160000,government,lost / stolen device,20
13,Gap Inc,2007,800000,retail,lost / stolen device,20
14,Compass Bank,2007,1000000,financial,inside job,300
15,Monster.com,2007,1600000,web,hacked,20
16,Driving Standards Agency,2007,3000000,government,lost / stolen device,20
17,"Driving Standards Agency,",2007,3000000,government,lost / stolen device,20
18,Hannaford Brothers Supermarket Chain,2007,4200000,retail,hacked,300
19,TD Ameritrade,2007,6300000,financial,hacked,1
20,Fidelity National Information Services,2007,8500000,financial,inside job,300
21,Dai Nippon Printing,2007,8637405,retail,inside job,1
22,UK Revenue & Customs,2007,25000000,government,lost / stolen device,1
23,TK / TJ Maxx,2007,94000000,retail,hacked,300
24,Service Personnel and Veterans Agency (UK),2008,50500,government,lost / stolen device,20
25,Stanford University,2008,72000,academic,lost / stolen device,20
26,UK Home Office,2008,84000,government,lost / stolen device,20
27,AT&T,2008,113000,telecoms,lost / stolen device,1
28,Starbucks,2008,97000,retail,lost / stolen device,20
29,RBS Worldpay,2008,1500000,financial,hacked,20
30,Jefferson County,2008,1600000,government,accidentally published,20
31,UK Ministry of Defence,2008,1700000,government,lost / stolen device,50000
32,University of Miami,2008,2100000,academic,lost / stolen device,300
33,University of Utah Hospitals & Clinics,2008,2200000,academic,lost / stolen device,4000
34,Norwegian Tax Authorities,2008,3950000,government,accidentally published,20
35,Data Processors International,2008,5000000,financial,hacked,1
36,Chile Ministry Of Education,2008,6000000,government,hacked,1
37,GS Caltex,2008,11100000,energy,inside job,20
38,BNY Mellon Shareowner Services,2008,12500000,financial,lost / stolen device,1
39,Auction.co.kr,2008,18000000,web,hacked,300
40,US Dept of Defense,2009,72000,military,lost / stolen device,20
41,US National Guard,2009,131000,military,lost / stolen device,20
42,University of California Berkeley,2009,160000,academic,hacked,300
43,"Affinity Health Plan, Inc.",2009,344579,healthcare,lost / stolen device,4000
44,Virginia Prescription Monitoring Program,2009,531400,healthcare,hacked,20
45,Network Solutions,2009,573000,tech,hacked,300
46,Blue Cross Blue Shield of Tennessee,2009,1023209,healthcare,lost / stolen device,20
47,"AvMed, Inc.",2009,1220000,healthcare,lost / stolen device,20
48,Health Net ,2009,1500000,healthcare,lost / stolen device,4000
49,CheckFree Corporation,2009,5000000,financial,hacked,1
50,Virginia Dept. Of Health,2009,8257378,"government, healthcare",hacked,4000
51,RockYou!,2009,32000000,"web, gaming",hacked,1
52,US Military,2009,76000000,military,lost / stolen device,20
53,Heartland,2009,130000000,financial,hacked,300
54,Yale University,2010,43000,academic,accidentally published,20
55,AT&T,2010,114000,telecoms,hacked,1
56,Colorado government,2010,105470,healthcare,lost / stolen device,20
57,Lincoln Medical & Mental Health Center,2010,130495,healthcare,lost / stolen device,4000
58,"Ankle & foot Center of Tampa Bay, Inc.",2010,156000,healthcare,hacked,4000
59,"Emergency Healthcare Physicians, Ltd.",2010,180111,healthcare,lost / stolen device,4000
60,"Seacoast Radiology, PA",2010,231400,healthcare,hacked,20
61,Embassy Cables,2010,251000,government,inside job,50000
62,US Military,2010,260000,military,inside job,50000
63,US Federal Reserve Bank of Cleveland,2010,400000,financial,hacked,300
64,Classified Iraq War documents,2010,392000,government,inside job,20
65,"Triple-S Salud, Inc.",2010,398000,healthcare,lost / stolen device,4000
66,Puerto Rico Department of Health,2010,515000,healthcare,hacked,4000
67,Ohio State University,2010,760000,academic,hacked,20
68,"South Shore Hospital, Massachusetts",2010,800000,healthcare,lost / stolen device,50000
69,Gawker.com,2010,1500000,web,hacked,20
70,New York City Health & Hospitals Corp.,2010,1700000,healthcare,lost / stolen device,4000
71,Betfair,2010,2300000,web,hacked,300
72,JP Morgan Chase,2010,2600000,financial,lost / stolen device,300
73,Educational Credit Management Corp,2010,3300000,financial,lost / stolen device,20
74,Morgan Stanley Smith Barney,2011,34000,financial,lost / stolen device,300
75,US Army,2011,50000,military,accidentally published,1
76,Writerspace.com,2011,62000,web,hacked,1
77,University of Wisconsin - Milwaukee,2011,73000,academic,hacked,20
78,Memorial Healthcare System,2011,102153,healthcare,lost / stolen device,20
79,US Law Enforcement,2011,123461,government,hacked,300
80,San Francisco Public Utilities Commission ,2011,180000,government,hacked,1
81,Accendo Insurance Co. ,2011,175350,healthcare,poor security,20
82,Bethesda Game Studios,2011,200000,gaming,hacked,1
83,Restaurant Depot,2011,200000,retail,hacked,300
84,Massachusetts Government,2011,210000,government,hacked,50000
85,Southern California Medical-Legal Consultants,2011,300000,healthcare,hacked,20
86,Honda Canada,2011,283000,retail,hacked,20
87,Citigroup,2011,360083,financial,hacked,300
88,Spartanburg Regional Healthcare System,2011,400000,healthcare,lost / stolen device,4000
89,Eisenhower Medical Center,2011,514330,healthcare,lost / stolen device,4000
90,Stratfor,2011,935000,military,hacked,300
91,Sony Pictures,2011,1000000,web,hacked,1
92,Oregon Department of Motor Vehicles,2011,1000000,government,hacked,20
93,Nemours Foundation,2011,1055489,healthcare,lost / stolen device,4000
94,Sega,2011,1290755,gaming,hacked,20
95,Washington Post,2011,1270000,media,hacked,20
96,Health Net - IBM,2011,1900000,healthcare,lost / stolen device,300
97,Countrywide Financial Corp,2011,2500000,financial,inside job,20
98,State of Texas,2011,3500000,government,accidentally published,20
99,Sutter Medical Foundation,2011,4243434,healthcare,lost / stolen device,20
100,Tricare,2011,4901432,"military, healthcare",lost / stolen device,4000
101,China Software Developer Network,2011,6000000,web,hacked,1
102,NHS,2011,8300000,healthcare,lost / stolen device,4000
103,178.com,2011,10000000,web,hacked,1
104,Nexon Korea Corp,2011,13200000,web,hacked,20
105,Sony Online Entertainment,2011,24600000,gaming,hacked,300
106,Tianya,2011,28000000,web,hacked,1
107,Steam,2011,35000000,web,hacked,300
108,Sony PSN,2011,77000000,gaming,hacked,1
109,Dropbox,2012,30000,web,hacked,1
110,Militarysingles.com,2012,163792,"web, military",hacked,1
111,South Carolina Government,2012,6400000,healthcare,inside job,4000
112,Emory Healthcare,2012,315000,healthcare,lost / stolen device,4000
113,Formspring,2012,420000,web,hacked,1
114,Yahoo Voices,2012,450000,"tech, web",hacked,1
115,Medicaid,2012,780000,"government, healthcare",hacked,20
116,California Department of Child Support Services,2012,800000,government,lost / stolen device,20
117,Global Payments,2012,7000000,financial,hacked,300
118,New York State Electric & Gas,2012,1800000,energy,inside job,20
119,Three Iranian banks,2012,3000000,financial,hacked,50000
120,Office of the Texas Attorney General,2012,6500000,government,accidentally published,20
121,"LinkedIn, eHarmony, Last.fm",2012,8000000,web,hacked,1
122,Gamigo,2012,8000000,web,hacked,1
123,KT Corp.,2012,8700000,telecoms,hacked,20
124,Greek government,2012,9000000,government,hacked,20
125,"""Apple""",2012,12367232,"tech, retail",accidentally published,20
126,Blizzard,2012,14000000,gaming,hacked,20
127,Zappos,2012,24000000,web,hacked,20
128,Last.fm,2012,43500000,web,hacked,1
129,Dropbox,2012,68700000,web,hacked,1
130,Massive American business hack,2012,160000000,financial,hacked,50000
131,Court Ventures,2012,200000000,financial,inside job,20
132,LinkedIn,2012,117000000,web,hacked,1
