Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,28.049999,29.389999,27.9,28.66,25.238714,1578300
2005-01-04,29.33,29.459999,27.6,27.66,24.358086,690400
2005-01-05,27.76,28.16,27.610001,27.83,24.507799,426600
2005-01-06,28.049999,28.049999,27.559999,27.6,24.305254,345200
2005-01-07,27.6,27.610001,27.34,27.48,24.199575,480800
2005-01-10,27.48,27.65,27.290001,27.370001,24.102713,505200
2005-01-11,27.27,27.309999,26.99,27.309999,24.049873,414800
2005-01-12,27.389999,27.49,26.969999,27.35,24.085093,435100
2005-01-13,27.26,27.370001,27.09,27.23,23.97942,434100
2005-01-14,27.280001,27.57,27.280001,27.530001,24.243608,400300
2005-01-18,27.530001,28.15,27.450001,28.049999,24.70153,1075500
2005-01-19,27.950001,28.0,27.780001,27.83,24.507799,426700
2005-01-20,27.860001,28.35,27.620001,28.120001,24.76318,550100
2005-01-21,28.059999,28.24,27.93,28.0,24.657501,463000
2005-01-24,28.02,28.549999,28.0,28.379999,24.992138,658100
2005-01-25,28.379999,28.940001,28.049999,28.1,24.745565,606700
2005-01-26,28.09,28.290001,27.77,27.91,24.578249,524300
2005-01-27,28.01,28.120001,27.73,27.790001,24.472574,462100
2005-01-28,27.950001,28.0,27.5,27.93,24.595856,426300
2005-01-31,27.940001,28.299999,27.940001,28.299999,24.92169,443100
2005-02-01,28.23,28.940001,28.23,28.809999,25.370815,656300
2005-02-02,28.65,29.18,28.65,29.1,25.626188,808300
2005-02-03,28.92,30.559999,28.6,30.299999,26.682943,1629800
2005-02-04,30.309999,31.030001,30.0,31.01,27.308187,1272500
2005-02-07,31.01,31.209999,30.709999,30.73,27.061609,749400
2005-02-08,30.68,30.93,30.27,30.459999,26.823841,895500
2005-02-09,30.709999,31.030001,30.469999,30.84,27.15848,919900
2005-02-10,30.85,30.99,30.700001,30.9,27.211309,321200
2005-02-11,30.82,31.200001,30.82,31.15,27.431473,421900
2005-02-14,31.049999,31.139999,30.870001,30.950001,27.255344,377900
2005-02-15,30.99,31.450001,30.91,31.32,27.581186,405400
2005-02-16,31.25,31.33,30.790001,31.040001,27.334602,382400
