ENTITY,ENTITY,ACTUAL YEAR,RECORDS LOST,ORGANISATION,METHOD OF LEAK,DATA SENSITIVITY,Symbol
AOL,AOL,2004,92000000,web,inside job,1,{}
Automatic Data Processing,Automatic Data Processing,2005,125000,financial,poor security,20,ADP
Ameritrade Inc.,Ameritrade Inc.,2005,200000,financial,lost / stolen device,20,[]
Citigroup,Citigroup,2005,3900000,financial,lost / stolen device,300,C
Cardsystems Solutions Inc. ,Cardsystems Solutions Inc. ,2005,40000000,financial,hacked,300,[]
Hewlett Packard,Hewlett Packard,2006,200000,"tech, retail",lost / stolen device,20,HPQ
Countrywide Financial Corp,Countrywide Financial Corp,2006,2600000,financial,inside job,300,[]
KDDI,KDDI,2006,4000000,telecoms,hacked,1,{}
"T-Mobile, Deutsche Telecom","T-Mobile, Deutsche Telecom",2006,17000000,telecoms,lost / stolen device,1,[]
AOL,AOL,2006,20000000,web,accidentally published,1,{}
US Dept of Vet Affairs,US Dept of Vet Affairs,2006,26500000,"government, military",lost / stolen device,20,[]
Texas Lottery,Texas Lottery,2007,89000,government,inside job,20,[]
City and Hackney Teaching Primary Care Trust,City and Hackney Teaching Primary Care Trust,2007,160000,government,lost / stolen device,20,[]
Gap Inc,Gap Inc,2007,800000,retail,lost / stolen device,20,GPS
Compass Bank,Compass Bank,2007,1000000,financial,inside job,300,[]
Monster.com,Monster.com,2007,1600000,web,hacked,20,[]
Driving Standards Agency,Driving Standards Agency,2007,3000000,government,lost / stolen device,20,[]
"Driving Standards Agency,","Driving Standards Agency,",2007,3000000,government,lost / stolen device,20,[]
Hannaford Brothers Supermarket Chain,Hannaford Brothers Supermarket Chain,2007,4200000,retail,hacked,300,[]
TD Ameritrade,TD Ameritrade,2007,6300000,financial,hacked,1,AMTD
Fidelity National Information Services,Fidelity National Information Services,2007,8500000,financial,inside job,300,FIS
Dai Nippon Printing,Dai Nippon Printing,2007,8637405,retail,inside job,1,{}
UK Revenue & Customs,UK Revenue & Customs,2007,25000000,government,lost / stolen device,1,[]
TK / TJ Maxx,TK / TJ Maxx,2007,94000000,retail,hacked,300,[]
Service Personnel and Veterans Agency (UK),Service Personnel and Veterans Agency (UK),2008,50500,government,lost / stolen device,20,[]
Stanford University,Stanford University,2008,72000,academic,lost / stolen device,20,[]
