Company,Valuation,State,Ctiy,Country,Latitude,Longitude
Uber,68,California,San Francisco,US,37.7752310,-122.4175280
Airbnb,29.3,California,San Francisco,US,37.7717070,-122.4053770
Lyft,6.89,California,San Francisco,US,37.7765450,-122.3919710
SoFi,4.5,California,San Francisco,US,37.8000700,-122.4497440
Palantir Technologies,20,California,San Francisco,US,37.4426110,-122.1620790
DropBox,9.38,California,San Francisco,US,37.7810320,-122.3927030
Pinterest,10.4,California,San Francisco,US,37.7754540,-122.3999610
SpaceX,10.3,California,Hawthorne,US,31.3990540,-97.4626350
Bloom Energy,2.54,California,Sunnyvale,US,37.4099040,-122.0080480
Wish,3,California,San Francisco,US,37.7904330,-122.4014380
Stripe,9.2,California,San Francisco,US,37.7766140,-122.3921740
STX Entertainment,1.5,California,Burbank,US,34.1528620,-118.3426720
Instacart,3.42,California,San Francisco,US,,
Houzz,3.84,California,Palo Alto,US,37.4450990,-122.1607350
Zenefits,2.1,California,San Francisco,US,37.7830520,-122.3910300
Slack Technologies,3.8,California,San Francisco,US,37.7824080,-122.4053760
DocuSign,2.53,California,San Francisco,US,37.7903630,-122.3923860
Proteus Digital Health,1.33,California,Redwood City,US,37.5389880,-122.2575120
Tanium,3.75,California,Emeryville,US,37.8386780,-122.3015310
TangoMe,1.1,California,Mountain View,US,37.4017920,-122.0538540
Credit Karma,3.5,California,San Francisco,US,37.7864370,-122.4052870
Prosper Marketplace,1.83,California,San Francisco,US,37.7904130,-122.3920570
GitHub,1.88,California,San Francisco,US,40.0169200,-105.2779780
OpenDoor Labs,1,California,San Francisco,US,37.7885340,-122.3950690
TechStyle Fashion Group,1,California,El Segundo,US,33.9046370,-118.3858290
Human Longevity,1.2,California,Mountain View,US,37.3935530,-122.0767730
Rubrik,1.3,California,Palo Alto,US,37.4174210,-122.1451440
Zoox,1.55,California,Menlo Park,US,37.4228870,-122.1984090
Lookout,1.28,California,San Francisco,US,37.7643800,-122.4333180
Apttus,1.41,California,San Mateo,US,37.5561440,-122.2881350
Thumbtack,1.18,California,San Francisco,US,37.7768450,-122.4166160
Illumio,1,California,Sunnyvale,US,37.3766950,-122.0150710
Katerra,1,California,Menlo Park,US,37.4221850,-122.2031310
CrowdStrike,1,California,Irvine,US,33.6672790,-117.7580760
Medallia,1.15,California,San Mateo,US,37.5534670,-122.3059130
AppDirect,1,California,San Francisco,US,37.7928630,-122.4051850
23andMe,1,California,Mountain View,US,37.3952080,-122.0791590
Anaplan,1.1,California,San Francisco,US,37.7817090,-122.3910640
Carbon3D,1,California,Redwood City,US,37.4872990,-122.2093630
Symphony Communication Services,1,California,Palo Alto,US,37.4203610,-122.1489830
Quora,1.8,California,Mountain View,US,37.3880060,-122.0830150
The Honest Company,1.64,California,Santa Monica,US,33.9799740,-118.4063000
Nextdoor,1.1,California,San Francisco,US,37.7763260,-122.4163890
GlassDoor,1,California,Mill Valley,US,37.8802040,-122.5146820
Eventbrite,1,California,San Francisco,US,37.7823800,-122.4052250
Unity Technologies,2.8,California,San Francisco,US,37.7871310,-122.4033450
Automattic,1.24,California,San Francisco,US,37.7441190,-122.4215890
CloudFlare,1,California,San Francisco,US,37.7802230,-122.3905870
Age of Learning,1,California,Glendale,US,34.1469200,-118.2557380
Procore Technologies,1,California,Carpinteria,US,34.3844070,-119.4909790
Docker,1,California,San Francisco,US,37.7801510,-122.3919870
Cylance,1,California,Irvine,US,33.6778360,-117.8536410
Gusto,1,California,San Francisco,US,37.7808410,-122.3958200
Robinhood,1.3,California,Palo Alto,US,37.4222110,-122.1370800
Razer,2,California,San Francisco,US,37.7838030,-122.4075400
MarkLogic,1,California,San Carlos,US,37.5073900,-122.2470910
Zscaler,1,California,San Jose,US,37.4159510,-121.9478370
Zoom Video Communications,1,California,San Jose,US,37.3327340,-121.8949340
Ten-X,1.2,California,San Mateo,US,37.5403480,-122.2988350
Quanergy Systems,1.58,California,Sunnyvale,US,37.3827950,-121.9907590
C3 IoT,1.4,California,Redwood City,US,37.5136820,-122.2019100
Rocket Lab,1,California,Huntington Beach,US,,
Datto,1,Connecticut,Norwalk,US,,
Vox Media,1,DC,Washington,US,,
Afiniti,1.6,DC,Washington,US,,
Magic Leap,3.68,Florida,Plantation,US,,
Fanatics,3.1,Florida,Jacksonville,US,,
JetSmarter,1.5,Florida,Fort Lauderdale,US,,
Kabbage,1,Georgia,Atlanta,US,,
GreenSky,3.6,Georgia,Atlanta,US,,
Avant,1.9,Illinois,Chicago,US,,
Outcome Health,5.5,Illinois,Chicago,US,,
SMS Assist,1,Illinois,Chicago,US,,
Mu Sigma,1.5,Illinois,Northbrook,US,,
Uptake Technologies,2,Illinois,Chicago,US,,
Moderna Therapeutics,3,Massachusetts, Cambridge,US,,
Intarcia Therapeutics,3.4,Massachusetts,Hayward,US,,
DraftKings,1.2,Massachusetts,Boston,US,,
Desktop Metal,1,Massachusetts,Burlington,US,,
Actifio,1.13,Massachusetts,Waltham,US,,
Clover Health,1.2,New Jersey,Jersey City,US,,
WeWork,20,New York,New York City,US,,
Infor,10,New York,New York City,US,,
Vice Media,5.7,New York,New York City,US,,
Oscar Health Insurance Co.,2.7,New York,New York City,US,,
Buzzfeed,1.7,New York,New York City,US,,
Peloton Interactive,1.25,New York,New York City,US,,
FanDuel,1.19,New York,New York City,US,,
AppNexus,2.2,New York,New York City,US,,
Zeta Global,1.3,New York,New York City,US,,
Flatiron Health,1.2,New York,New York City,US,,
MongoDB,1.6,New York,New York City,US,,
Sprinklr,1.8,New York,New York City,US,,
ZocDoc,1.77,New York,New York City,US,,
Warby Parker,1.29,New York,New York City,US,,
Compass,1,New York,New York City,US,,
AvidXchange,1.4,North Carolina,Charlotte,US,,
Mozido,2.39,Texas,Austin,US,,
Kendra Scott,1,Texas,Austin,US,,
Domo,2.3,Utah,American Fork,US,,
Qualtrics,2.5,Utah,Provo,US,,
InsideSales.com,1.7,Utah,Salt Lake City,US,,
Pluralsight,1,Utah,Farmington,US,,
Adaptive Biotechnologies,1,Washington,Seattle,US,,
OfferUp,1.2,Washington,Seattle,US,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
