,date,plane_type,loc,country,ref,airline,fat,px,cat,phase,cert,meta,cause
1,1993-01-06,Dash 8-311,near Paris Charles de Gualle,France,D-BEAT,Lufthansa Cityline,4,20,A1,approach,confirmed,human_error,pilot & ATC error
2,1993-01-09,Hawker Siddeley HS-748-234 Srs,near Surabaya Airport,Indonesia,PK-IHE,Bouraq Indonesia,15,29,A1,initial_climb,probable,mechanical,engine failure
3,1993-01-31,Shorts SC.7 Skyvan 3-100,Mt. Kapur,Indonesia,9M-PID,Pan Malaysian Air Transport,14,29,A1,en_route,probable,weather,low visibility
4,1993-02-08,Tupolev 154M,near Tehran-Mehra...,Iran,EP-ITD,Iran Air Tours,131,67,A1,en_route,confirmed,human_error,"pilot error, collision"
5,1993-02-28,Dornier 228-201,near Orchid Island,Taiwan,B-12238,Formosa Airlines,6,22,A1,approach,probable,weather,bad weather
6,1993-03-05,Fokker 100,"near Skopje, Macedonia",Macedonia,PH-KXL,Palair Macedonian,83,56,A1,initial_climb,confirmed,human_error,maintenance error
7,1993-03-19,Beechcraft 200 Super King Air,near Geilo-Dagali,Norway,LN-TSA,West Aviation,3,19,A1,approach,probable,weather,bad weather
8,1993-03-23,Embraer 110C Bandeirante,"near Cuiabá, MT",Brazil,PP-SBJ,Oeste Linhas Aéreas,6,22,A1,en_route,probable,weather,bad weather
9,1993-04-06,McDonnell-Douglas MD-11,"near Aleutian Islands, Alaska",USA,B-2171,China Eastern Airlines,2,17,A2,en_route,probable,mechanical,design flaw
10,1993-04-23,Antonov 26,near Zavkhan Province,Mongolia,BNMAU-14102,MIAT Mongolian Airlines,32,38,A1,en_route,suspected,human_error,pilot & crew error
11,1993-04-26,Boeing 737 2AB,near Aurangabad Airport,India,VT-ECQ,Indian Airlines,55,47,A1,takeoff,probable,human_error,pilot error
12,1993-05-19,Boeing 727-46,Mt Paramo Frontino,Colombia,HK-2422X,SAM Colombia,132,67,A1,en_route,probable,human_error,pilot & ATC error
13,1993-06-17,Antonov 26B,near Tbilisi,Georgia,26035,Tajikistan Airlines,41,42,A1,en_route,probable,weather,turbulence
14,1993-07-01,Fokker F-28 Fellowship 3000,Sorong-Jefma,Indonesia,PK-GFU,Merpati Nusantara,41,42,A1,approach,unknown,unknown,unknown
15,1993-06-09,Pilatus BN-2A-20 Islander,Gulgubip Airport,Papua New Guinea,P2-SWA,Southwest Air,9,25,A1,approach,probable,mechanical,engine failure
16,1993-07-23,BAe 146-300,"Yinchuan, Ningxia",China,B-2716,China Northwest Airlines,55,47,A1,takeoff,confirmed,mechanical,mechanical failure
17,1993-07-26,Boeing 737-5L9,Ungeo Mountain near Mokpo,Korea,HL7229,Asiana Airlines,68,51,A1,approach,probable,weather,bad weather
18,1993-06-28,Beechcraft 200 Super King Air,Aminius,Namibia,ZS-NEP,Trans Namibia Aviation,3,19,A1,initial_climb,unknown,unknown,unknown
19,1993-07-31,Dornier 228-101,near Bharatpur Airport,Nepal,9N-ACL,Everest Air,19,32,A1,approach,unknown,unknown,unknown
20,1993-08-26,Let L-410UVP-E,near Aldan Airport,Russia,RA-67656,Sakha Avia,24,34,A1,landing,probable,human_error,overload
